CM Energy (TeV),,"13,6",,,,,,,,,,13,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
BKG,,"5,5",6,"6,5","6,75",7,"7,25","7,5","7,75",8,"8,25","5,5",6,"6,5",7,8,"5,5",6,"6,5",7,"7,5",8,,,,,,,,,,,,,,,,,,,,,
Event No.,Process,,,,,,,,,,,,,,,ATLAS Sigma (fb),,,,,,,,,,,,,,,,,,,,,,,,,,,
b.29,ff_WW_bkg,"8,053E-03","2,839E-03","9,666E-04","5,554E-04","3,148E-04","1,761E-04","9,644E-05","5,191E-05","2,738E-05","1,424E-05","5,068E-03","1,671E-03","5,270E-04","1,561E-04","1,087E-05","1,069E-02","3,922E-03","1,396E-03","4,779E-04","1,554E-04","4,737E-05",,"1,55E-16","4,74E-17","5,55E-16","1,42E-17","5,19E-17","1,76E-16","9,64E-17","4,78E-16","5,07E-15","8,05E-15","1,56E-16","3,15E-16","1,09E-17","2,74E-14","5,27E-13","9,67E-13","2,84E-15","1,07E-14","3,92E-15","1,40E-15"
b.30,ff_gmZgmZ_bkg,"8,324E-04","2,792E-04","9,065E-05","5,086E-05","2,821E-05","1,544E-05","8,316E-06","4,421E-06","2,298E-06","1,176E-06","5,187E-04","1,625E-04","4,905E-05","1,396E-05","9,166E-07","1,113E-03","3,874E-04","1,310E-04","4,308E-05","1,348E-05","3,975E-06",,"1,35E-17","3,98E-18","5,09E-17","1,18E-18","4,42E-18","1,54E-17","8,32E-18","4,31E-17","5,19E-16","8,32E-16","1,40E-17","2,82E-17","9,17E-19","2,30E-15","4,91E-14","9,07E-14","2,79E-16","1,11E-15","3,87E-16","1,31E-16"
b.31,gg_ttbar_bkg_hadronic,"6,599E-03","1,846E-03","5,051E-04","2,611E-04","1,336E-04","6,757E-05","3,372E-05","1,662E-05","8,018E-06","3,812E-06","3,756E-03","9,803E-04","2,480E-04","6,012E-05","2,882E-06","9,350E-03","2,709E-03","7,762E-04","2,165E-04","5,784E-05","1,477E-05",,"5,78E-17","1,48E-17","2,61E-16","3,81E-18","1,66E-17","6,76E-17","3,37E-17","2,17E-16","3,76E-15","6,60E-15","6,01E-17","1,34E-16","2,88E-18","8,02E-15","2,48E-13","5,05E-13","1,85E-15","9,35E-15","2,71E-15","7,76E-16"
b.32,qq_ttbar_bkg_hadronic,"4,953E-03","1,543E-03","4,646E-04","2,519E-04","1,343E-04","7,087E-05","3,671E-05","1,874E-05","9,390E-06","4,603E-06","3,070E-03","8,913E-04","2,485E-04","6,539E-05","3,660E-06","6,661E-03","2,150E-03","6,789E-04","2,070E-04","5,993E-05","1,645E-05",,"5,99E-17","1,65E-17","2,52E-16","4,60E-18","1,87E-17","7,09E-17","3,67E-17","2,07E-16","3,07E-15","4,95E-15","6,54E-17","1,34E-16","3,66E-18","9,39E-15","2,49E-13","4,65E-13","1,54E-15","6,66E-15","2,15E-15","6,79E-16"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New BKG (> 6jets),,"5,5",6,"6,5","6,75",7,"7,25","7,5","7,75",8,"8,25",tbat01 path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b.33,"ttW_hadronic
(check no of events!)",,,,,,,"1,168E-05",,,,"/data/iduminic/diquark-simulation-original/diquark-simulation/MG5_sm-full/ATLAS_data_136_75_ttbarz/tag_1_delphes_events.root (73237 events)
/data/iduminic/diquark-simulation-original/diquark-simulation/MG5_sm-full/ATLAS_data_136_70-875_ttbarw/Events/run_ttbarw_136_75/tag_1_delphes_events.root (81727 events)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b.34,ttZ_hadronic,,,,,,,"6,253E-04",,,,/data/iduminic/diquark-simulation-original/diquark-simulation/MG5_sm-full/ATLAS_data_136_75_ttbarz/Events/run_ttbarz_136_75/tag_1_delphes_events.root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b.35,"tttt_hadronic
(check no of events!)",,,,,,,"4,318E-06",,,,/data/iduminic/diquark-simulation-original/diquark-simulation/MG5_sm-full/ATLAS_data_136_75_tttt//Events/run_tttt_136_75/tag_1_delphes_events.root (3267 events),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b.36,ttbb_hadronic,,,,,,,"8,919E-04",,,,/data/iduminic/diquark-simulation-original/diquark-simulation/MG5_sm-full/ATLAS_data_136_75_ttbb/Events/run_ttbb_136_75/tag_1_delphes_events.root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b.37,ttj_hadronic,,,,,,,"3,373E+00",,,,/data/iduminic/diquark-simulation-original/diquark-simulation/MG5_sm-full/ATLAS_data_136_75_ttj/Events/run_ttbb_136_75/tag_1_delphes_events.root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b.38,"ttcc_hadronic
(check no of events!)",,,,,,,"1,885E-04",,,,/data/iduminic/diquark-simulation-original/diquark-simulation/MG5_sm-full/ATLAS_data_136_75_ttcc/Events/run_ttcc_136_75/tag_1_delphes_events.root (32098 events),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b.39,tq_hadronic (Pythia8),,,,,,,"1,685E-02",,,,/data/iduminic/diquark-simulation-original/diquark-simulation/ATLAS_data_136_75_fullhadro_NEW/39_qq_tq.cmnd_13600_7500.root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b.40,tqbar_hadronic (Pythia8),,,,,,,"1,024E-06",,,,/data/iduminic/diquark-simulation-original/diquark-simulation/ATLAS_data_136_75_fullhadro_NEW/40_ffbar_tqbar.cmnd_13600_7500.root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b.41,www_hadronic,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b.42,"wwz_hadronic
(check no of events!)",,,,,,,"1,247E-05",,,,/data/iduminic/diquark-simulation-original/diquark-simulation/MG5_sm-full/ATLAS_data_136_75_wwz/Events/run_wwz_136_75/tag_1_delphes_events.root (32492 events),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b.42B,"wwz_hadronic_BIS
(check no of events!)",,,,,,,"1,247E-05",,,,/data/iduminic/diquark-simulation-original/diquark-simulation/MG5_sm-full/ATLAS_data_136_75_wwz_iseed22/Events/run_wwz_136_75/tag_1_delphes_events.root (57543 events),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b.43,wzz_hadronic,,,,,,,"1,892E-06",,,,/data/iduminic/diquark-simulation-original/diquark-simulation/MG5_sm-full/ATLAS_data_136_75_wzz/Events/run_wzz_136_75/tag_1_delphes_events.root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b.44,zzz_hadronic,,,,,,,"1,705E-07",,,,/data/iduminic/diquark-simulation-original/diquark-simulation/MG5_sm-full/ATLAS_data_136_75_zzz/Events/run_zzz_136_75/tag_1_delphes_events.root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
